,location_id,lat,lng,competitor_count_1500m,nearest_competitor_m,poi_count_1500m,nearest_poi_m,poi_restaurant_count_1500m,nearest_poi_restaurant_m,poi_bank_count_1500m,nearest_poi_bank_m,poi_school_count_1500m,nearest_poi_school_m,poi_bus_stop_count_1500m,nearest_poi_bus_stop_m,poi_park_count_1500m,nearest_poi_park_m,poi_pharmacy_count_1500m,nearest_poi_pharmacy_m,poi_hospital_count_1500m,nearest_poi_hospital_m,poi_mall_count_1500m,nearest_poi_mall_m,building_count_1500m,residential_ratio_1500m,population_1500m,signals_1500m,unique_users_1500m
30,861e232afffffff,50.32254312674813,18.855673485277343,0,2628.7202698460137,2,1234.549767337917,0,6299.080241741897,0,5303.390428232497,2,1234.549767337917,0,4744.136956139884,0,5518.51497730815,0,4859.147136714301,0,4676.716601666782,0,3428.6938056133195,1906,0.5498426023084995,14945,56908.0,730.0
31,861e2e4efffffff,50.20577977763022,19.70820794683821,0,3577.3361837797597,0,6101.2681081522105,0,6101.2681081522105,0,18349.342894136873,0,7549.076369336882,0,6839.367498309857,0,12376.35200930594,0,18882.651107836464,0,20644.752030825006,0,22214.882734489915,214,0.5186915887850467,363,392.0,13.0
32,861e23677ffffff,50.17506230318077,18.576799525098462,0,2539.8583460799837,0,2036.2316604934397,0,14360.15193430997,0,8673.488993431749,0,6632.727723759567,0,2036.2316604934397,0,2264.323183748421,0,7100.42344421377,0,14200.250097867836,0,8666.48475815168,23,0.34782608695652173,29,4.0,1.0
33,861e05827ffffff,50.09154658578103,19.010965530214232,0,2989.554817820031,0,2858.182936108884,0,4276.2011672822355,0,11164.703535170653,0,6065.2149248489995,0,3122.851801969243,0,3355.4561430837985,0,10935.304657123872,0,2858.182936108884,0,11377.342918777218,2051,0.6231106777181863,9583,50030.0,1037.0
34,861e05957ffffff,50.12829324051937,19.080753478673262,0,3197.097610166173,0,4889.236814711263,0,6948.494482073977,0,7776.792781068556,0,6142.193228254767,0,4889.236814711263,0,6862.363460706606,0,11525.093225920364,0,6373.0638192093975,0,13339.942014808277,465,0.6021505376344086,1085,1919.0,67.0
35,861e232e7ffffff,50.34250079904654,19.012669714734887,0,2408.3754648401696,0,2114.6494275489954,0,4603.512315924634,0,6395.2303483570495,0,2517.3975354525114,0,4177.1737412105,0,6422.81905561085,0,5244.777615049911,0,2114.6494275489954,0,8071.13462999432,1780,0.6157303370786517,3867,10122.0,209.0
36,861e0591fffffff,50.10839157237029,18.92418952269879,0,2633.1768214163617,0,4545.566171246416,0,4663.69533241121,0,6633.51965984683,0,6762.40682561225,0,9552.707457079856,0,4545.566171246416,0,11921.224274959997,0,5045.766057273124,0,6723.631453836672,17,0.5294117647058824,27,42.0,9.0
37,861e2376fffffff,50.31891745988254,18.61174247889596,0,6341.290139146538,0,2670.6758632998276,0,2670.6758632998276,0,10585.70286389193,0,3281.1428166625033,0,2812.911067172522,0,4595.245155086956,0,4613.734600126288,0,4534.915748259512,0,10587.54487674541,1266,0.6003159557661928,5665,41194.0,622.0
38,861e2e7afffffff,50.20709698637166,19.952160214215798,0,12595.575806934152,0,7317.870988570873,0,10929.053369660422,0,9822.71854735682,0,8026.39112582531,0,7317.870988570873,0,15435.73637862365,0,11794.983602996803,0,12692.313609559356,0,13464.199527069457,778,0.4845758354755784,888,543.0,26.0
39,861e23287ffffff,50.28575814598765,18.785835936295797,0,2642.2775349216454,1,531.5554045829922,0,3429.334977429275,0,2302.0478665002543,1,531.5554045829922,0,3375.026775846715,0,7739.729413201054,0,2842.772280789232,0,3398.9698283039183,0,6354.10191528047,2564,0.6466458658346333,23231,79073.0,992.0
40,861e2e54fffffff,50.40290755092095,19.72893860001198,0,15771.772836765125,0,8673.009577285462,0,14035.244968147515,0,13693.508380566058,0,8673.009577285462,0,18744.25583679925,0,10177.173674607353,0,10712.095666610006,0,36416.44741816207,0,36705.994781067806,403,0.41935483870967744,581,1306.0,32.0
